Date,Avg_Temp_C,Max_Temp_C,Min_Temp_C,Precipitation_mm,Relative_Humidity_Percent,Wind_Speed_m_s
1981-01-01,18.86,27.76,12.62,0.0,59.29,2.4
1981-01-02,18.77,27.53,12.1,0.0,57.15,2.83
1981-01-03,20.2,28.91,13.96,0.0,49.03,2.25
1981-01-04,20.61,28.72,15.18,0.0,51.29,2.04
1981-01-05,20.34,27.9,15.26,0.0,50.22,2.1
1981-01-06,19.14,27.64,13.47,0.0,50.73,2.48
1981-01-07,18.26,26.72,12.11,0.0,56.2,3.32
1981-01-08,18.1,27.61,10.81,0.0,44.3,3.44
1981-01-09,18.09,27.67,10.78,0.0,36.05,3.36
1981-01-10,18.46,28.29,11.49,0.0,37.93,3.39
1981-01-11,18.76,28.09,12.14,0.0,45.4,3.07
1981-01-12,19.26,27.73,13.74,0.0,60.63,2.46
1981-01-13,19.19,26.62,14.12,0.0,70.92,2.27
1981-01-14,20.12,27.61,14.05,0.01,57.8,2.39
1981-01-15,18.83,26.62,13.21,0.04,63.52,3.25
1981-01-16,17.55,24.73,12.57,0.34,70.22,4.19
1981-01-17,17.15,25.41,10.98,0.24,67.07,4.3
1981-01-18,16.61,25.6,9.88,0.26,54.44,3.59
1981-01-19,18.51,28.09,11.66,0.0,57.9,2.95
1981-01-20,19.17,28.1,13.98,0.0,65.25,3.05
1981-01-21,18.97,27.9,12.95,0.0,63.24,3.03
1981-01-22,19.45,27.67,13.92,0.0,57.4,2.38
1981-01-23,20.44,29.34,14.71,0.0,44.36,2.45
1981-01-24,20.09,28.98,14.13,0.0,40.75,3.13
1981-01-25,20.36,29.63,13.37,0.0,23.83,3.37
1981-01-26,20.51,29.77,13.04,0.0,27.36,3.41
1981-01-27,20.83,30.37,13.47,0.0,30.24,2.68
1981-01-28,19.83,29.35,12.99,0.0,47.23,2.85
1981-01-29,19.48,28.22,12.77,0.0,55.44,3.42
1981-01-30,19.04,27.89,12.94,0.0,54.79,3.19
1981-01-31,18.93,28.46,11.4,0.0,47.72,2.75
1981-02-01,19.58,29.07,12.8,0.0,41.56,2.36
1981-02-02,20.26,29.68,12.7,0.03,41.23,1.91
1981-02-03,21.09,29.88,14.7,0.24,61.57,2.49
1981-02-04,19.36,27.34,13.8,0.11,56.9,3.6
1981-02-05,18.21,26.43,11.66,0.01,65.85,4.4
1981-02-06,18.25,27.74,11.47,0.0,58.77,3.35
1981-02-07,19.47,28.46,12.89,0.0,59.97,3.33
1981-02-08,18.98,26.88,13.7,0.0,65.61,3.81
1981-02-09,18.38,27.44,10.72,0.0,61.32,3.32
1981-02-10,20.73,29.59,13.42,0.0,52.98,2.01
1981-02-11,21.5,29.61,14.6,0.0,57.25,2.15
1981-02-12,20.71,25.8,17.02,0.0,64.92,2.33
1981-02-13,19.63,25.9,15.3,0.0,69.98,2.18
1981-02-14,19.6,26.07,15.57,0.0,66.32,2.21
1981-02-15,19.16,27.37,13.41,0.0,58.21,3.19
1981-02-16,19.2,27.86,12.35,0.0,53.84,3.29
1981-02-17,20.8,29.24,13.85,0.0,52.48,2.46
1981-02-18,21.01,29.9,14.87,0.0,61.35,2.8
1981-02-19,20.47,28.63,15.21,0.0,59.83,3.55
1981-02-20,19.86,28.94,13.11,0.0,45.27,3.94
1981-02-21,21.01,30.9,14.17,0.0,46.71,2.92
1981-02-22,21.34,30.46,15.18,0.0,53.28,2.85
1981-02-23,20.45,29.98,13.54,0.0,52.89,3.57
1981-02-24,20.44,30.14,13.05,0.0,37.74,3.98
1981-02-25,21.3,31.09,13.45,0.0,35.49,2.78
